fileID,f1,f2,vot,notes
ne03_kaka,769.42,1803,27.1,
ne03_kaka1,823.85,1714.43,25.5,
ne03_kaka2,892.82,1656.87,31.9,
ne03_keke,687.94,2567.73,26.2,
ne03_keke1,566.4,1749.11,29.91,
ne03_keke2,569.23,2557.78,32.51,
ne03_kiki,509.97,2752.88,35.61,
ne03_kiki1,401.15,2123.23,66.31,
ne03_kiki2,370.92,2856.92,52.6,
ne03_koko,507.19,1065.28,40.55,
ne03_koko1,556.76,1214.75,30.9,
ne03_koko2,556.59,1056.01,31.31,
ne03_kuku,510.12,990.99,38.15,
ne03_kuku1,454.95,1070.73,24.9,
ne03_kuku2,413.13,1060.39,33.71,
ne03_paka,849.04,1790.54,8.9,
ne03_paka1,725.49,1837.3,9.93,
ne03_paka2,729.69,1941.48,6.1,
ne03_peke,556.2,1502.32,6.96,
ne03_peke1,728.73,2489.13,26.57,
ne03_peke2,600.06,2290.92,8.51,
ne03_piki,363.86,2615.63,17.23,
ne03_piki1,356.52,1967.79,29.47,
ne03_piki2,302.12,2239.25,14.15,
ne03_poko,638.1,1120.61,5.89,
ne03_poko1,523.17,1183.71,30.2,
ne03_poko2,594.74,1101.79,28.8,
ne03_puku,825.77,1297.54,20.64,
ne03_puku1,419.63,971.71,43.5,
ne03_puku2,495.17,980.51,60.72,
ne03_taka,739.66,1834.87,13.64,
ne03_taka1,849.38,1750.11,19.78,
ne03_taka2,716.39,1405.64,12.05,
ne03_teke,569.16,1511.8,31.71,
ne03_teke1,569.33,1878.78,26.94,
ne03_teke2,560.86,1675.94,17.38,
ne03_tiki,356.65,2787.01,39.59,
ne03_tiki1,319.63,1570.68,70.12,
ne03_tiki2,420.79,1798.48,25.69,
ne03_toko,620.76,1098.71,25.41,
ne03_toko1,630.15,1193.41,30.56,
ne03_toko2,532.31,1093.56,18.29,
ne03_tuku,439.61,1001.95,30.39,
ne03_tuku1,415.53,1001.32,51.09,
ne03_tuku2,469.86,1145.31,35.29,
