fileID,f1,f2,vot,notes
ne02_kaka,590.84,1107.68,22.35,
ne02_kaka1,870.48,2215.19,62.94,
ne02_kaka2,77.98,1503.16,49.21,
ne02_keke,464.15,2408.32,26.45,
ne02_keke1,494.21,2481.5,43.12,
ne02_keke2,512.85,2243.99,25.3,
ne02_kiki,356.7,2699.05,56.36,
ne02_kiki1,343.97,2779.35,82.39,
ne02_kiki2,309.82,2783.6,48.3,
ne02_koko,523.42,1039.25,29.86,
ne02_koko1,410.32,1021.42,26.77,
ne02_koko2,530.08,1069.27,34.19,
ne02_kuku,892.95,1115.98,52.05,
ne02_kuku1,336.99,1143.45,55.9,
ne02_kuku2,489.3,1191.18,47.12,
ne02_paka,761.8,1690.3,19.12,
ne02_paka1,889.92,1529.54,17.15,
ne02_paka2,1055.36,1785.65,15.09,
ne02_peke,578.66,2303.68,40.05,
ne02_peke1,525.19,2456.19,8.98,
ne02_peke2,529.6,2459.49,34.75,
ne02_piki,335.27,2669.83,5.65,
ne02_piki1,379.97,2723.23,6.23,
ne02_piki2,439.66,2656.52,7.89,
ne02_poko,580.32,1034.92,16.61,
ne02_poko1,1019.82,2121.31,21.45,
ne02_poko2,620.31,1513.72,19.21,
ne02_puku,436.62,1563.9,22.98,
ne02_puku1,489.96,1209.62,31.07,
ne02_puku2,450.36,1269.87,21.68,
ne02_taka,450.36,1295.87,21.18,
ne02_taka1,819.28,1591.14,11.12,
ne02_taka2,810.68,1661.53,21.56,
ne02_teke,520.18,2311.23,22.45,
ne02_teke1,479.72,2415.82,27.84,
ne02_teke2,659.31,1814.87,28.1,
ne02_tiki,289.92,2832.63,31.31,
ne02_tiki1,314.76,2752.52,28.12,
ne02_tiki2,289.64,2715.72,28.11,
ne02_toko,521.19,999.39,27.45,
ne02_toko1,591.35,1155.93,45.99,
ne02_toko2,540.02,1080.34,28.26,
ne02_tuku,470.89,1394.34,32.11,
ne02_tuku1,439.39,1121.37,36.19,
ne02_tuku2,732,1498.51,32.41,
